# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;28/02/2005;0,889€;0,363€;0,839€;0,423€;0,465€;0,318€
España;21/02/2005;0,885€;0,360€;0,820€;0,407€;0,460€;0,318€
España;14/02/2005;0,884€;0,359€;0,816€;0,404€;0,464€;0,317€
España;07/02/2005;0,873€;0,349€;0,813€;0,401€;0,473€;0,322€
España;31/01/2005;0,861€;0,340€;0,813€;0,401€;0,463€;0,314€
España;24/01/2005;0,853€;0,332€;0,808€;0,397€;0,453€;0,305€
España;17/01/2005;0,844€;0,325€;0,808€;0,397€;0,446€;0,300€
España;10/01/2005;0,841€;0,322€;0,807€;0,396€;0,448€;0,303€
España;03/01/2005;0,841€;0,323€;0,808€;0,396€;0,486€;0,334€
España;18/12/2006;0,965€;0,425€;0,909€;0,481€;0,579€;0,414€
España;11/12/2006;0,964€;0,424€;0,912€;0,482€;0,582€;0,415€
España;04/12/2006;0,959€;0,419€;0,909€;0,480€;0,579€;0,413€
España;27/11/2006;0,957€;0,418€;0,906€;0,478€;0,579€;0,413€
España;20/11/2006;0,956€;0,417€;0,907€;0,478€;0,579€;0,413€
España;13/11/2006;0,956€;0,416€;0,909€;0,480€;0,580€;0,414€
España;06/11/2006;0,951€;0,412€;0,906€;0,478€;0,592€;0,424€
España;30/10/2006;0,960€;0,420€;0,918€;0,488€;0,598€;0,429€
España;23/10/2006;0,961€;0,421€;0,921€;0,491€;0,593€;0,425€
España;16/10/2006;0,967€;0,426€;0,921€;0,491€;0,583€;0,418€
España;09/10/2006;0,969€;0,428€;0,922€;0,492€;0,582€;0,416€
España;02/10/2006;0,976€;0,434€;0,925€;0,494€;0,591€;0,423€
España;25/09/2006;0,993€;0,449€;0,938€;0,505€;0,595€;0,427€
España;18/09/2006;1,007€;0,460€;0,953€;0,518€;0,621€;0,450€
España;11/09/2006;1,026€;0,477€;0,977€;0,539€;0,643€;0,468€
España;04/09/2006;1,061€;0,508€;0,991€;0,551€;0,643€;0,468€
España;28/08/2006;1,078€;0,522€;0,997€;0,556€;0,659€;0,483€
España;21/08/2006;1,106€;0,546€;1,000€;0,559€;0,661€;0,484€
España;14/08/2006;1,128€;0,565€;1,010€;0,567€;0,653€;0,478€
España;07/08/2006;1,137€;0,572€;1,006€;0,564€;0,643€;0,469€
España;31/07/2006;1,138€;0,574€;1,002€;0,561€;0,650€;0,475€
España;24/07/2006;1,135€;0,571€;1,005€;0,563€;0,650€;0,475€
España;17/07/2006;1,131€;0,567€;1,004€;0,562€;0,656€;0,481€
España;10/07/2006;1,110€;0,550€;0,995€;0,554€;0,653€;0,478€
España;03/07/2006;1,101€;0,542€;0,985€;0,546€;0,642€;0,468€
España;26/06/2006;1,086€;0,528€;0,981€;0,542€;0,646€;0,472€
España;19/06/2006;1,094€;0,536€;0,987€;0,547€;0,648€;0,473€
España;12/06/2006;1,090€;0,532€;0,981€;0,542€;0,645€;0,470€
España;05/06/2006;1,084€;0,527€;0,976€;0,538€;0,636€;0,464€
España;29/05/2006;1,090€;0,532€;0,986€;0,546€;0,644€;0,470€
España;22/05/2006;1,087€;0,530€;0,987€;0,547€;0,653€;0,479€
España;15/05/2006;1,098€;0,540€;1,002€;0,560€;0,655€;0,480€
España;08/05/2006;1,098€;0,539€;1,002€;0,560€;0,659€;0,483€
España;01/05/2006;1,094€;0,536€;1,000€;0,559€;0,645€;0,471€
España;24/04/2006;1,084€;0,527€;0,993€;0,553€;0,634€;0,461€
España;10/04/2006;1,051€;0,499€;0,969€;0,532€;0,617€;0,446€
España;03/04/2006;1,037€;0,487€;0,962€;0,526€;0,612€;0,442€
España;27/03/2006;1,022€;0,474€;0,956€;0,520€;0,606€;0,437€
España;20/03/2006;1,017€;0,470€;0,955€;0,520€;0,611€;0,441€
España;13/03/2006;1,003€;0,457€;0,951€;0,517€;0,610€;0,442€
